Total Household Income,Total Food Expenditure
191457,85596
524594,123515
331150,156149
326221,132962
857056,209491
129180,50491
624955,115138
803787,136477
306806,85916
221398,89103
242433,97873
163062,89990
137695,73086
71379,40377
169971,79475
183857,101768
177337,91861
177820,66933
361743,146044
166147,94100
139200,98922
406340,188017
716910,206698
663068,222352
195513,80629
96750,64914
118721,55074
949565,318473
562600,135111
268134,168268
94958,43543
128471,58490
250660,107840
530603,115140
105662,68170
127543,78166
111295,85918
76189,101608
166519,109678
210066,82201
145049,100190
691700,125181
102232,54195
820441,237609
340015,104401
471257,153773
138939,56628
124262,63532
217830,90459
154730,61979
82639,47632
281756,118846
567590,177118
121937,51732
211810,105182
114035,55241
341740,79712
522943,136954
179250,105895
617540,152914
212554,105268
192280,81903
251846,125806
178853,70372
374464,119776
111342,73024
358665,121515
219080,73349
256879,106028
256535,53308
79562,50624
61082,31339
328247,126334
121801,75381
1935306,142350
111012,52176
482281,141305
188382,103565
160771,88305
140312,66705
175781,77513
1046834,240154
331815,87264
159498,82292
151631,82382
148265,73112
582070,147399
150556,81005
75860,38852
90935,67241
155058,78768
163352,132881
50338,26492
112508,63567
247148,136528
160074,71290
142628,79789
143319,61726
128916,100793
114620,77861
133684,61605
130266,63697
115437,60594
121570,42443
282507,34818
260502,78571
529276,133223
262330,85326
91958,40511
104703,61402
112035,49287
89855,54291
41723,22195
134937,60015
96043,51082
132926,118629
146090,61807
140073,64233
42292,25430
130736,76525
96594,62447
114893,79166
81861,44925
55620,27026
138678,49469
62058,40586
86194,48461
176350,73574
69890,37820
96290,34149
52446,24937
73651,49048
84802,36296
47386,26575
35774,28582
73830,39912
91356,56428
117760,59685
100796,68538
89140,45604
164648,65948
140705,105319
116974,84737
26190,15628
57086,36723
123302,54397
111458,51036
130541,64741
181893,99592
237047,109251
239934,101465
97551,39748
157857,74635
39009,22131
83693,52261
183390,108664
207142,116024
210634,92710
109711,48436
146710,62378
302153,83748
194954,108987
294190,75651
273215,109398
349383,60136
117043,42236
146410,74153
144410,70389
117176,47389
120534,58732
140981,73684
191865,53962
119845,64683
361910,78184
82955,47463
118560,54590
178979,81516
150798,63458
63402,42352
656748,98525
205831,85701
198933,99685
72940,55523
194063,143336
109485,74775
226162,77005
97002,53224
136958,60270
174037,140975
157830,82794
227615,108513
85692,45751
134257,82181
175357,96557
125855,40568
121691,75510
390061,75713
232193,44322
287661,126115
280096,80613
385810,165629
163807,52232
54035,42577
75496,37877
40696,13655
98747,50997
510130,162942
142217,53575
130159,65898
47445,20049
142008,72984
104590,44188
84076,35712
122813,60429
246050,105403
150138,47541
134950,59991
131316,66228
171721,91422
153348,60524
263713,74114
221948,99029
214900,128428
84623,60507
118786,60908
63440,38306
96747,42500
129941,71884
162566,85025
141277,35649
109641,69798
107065,60603
646255,92737
232704,78227
111983,31024
46286,37076
91187,39487
155060,69206
125767,68832
102636,61262
92428,48935
152926,87559
243375,83349
87613,45556
